"condition","pa","na","lifeSat","swls","lucky","gender","age"
"2",3,1,8,6,1,1,18
"1",2.66666666666667,1.33333333333333,8,4.2,3,1,26
"1",4,1.33333333333333,8,5.6,5,1,19
"1",3.33333333333333,1.66666666666667,7,4.6,3,1,22
"1",3,2,7,4.6,4,1,18
"2",4.33333333333333,1.33333333333333,8,6,4,2,19
"2",3.66666666666667,1.33333333333333,8,4.8,1,1,22
"2",3,2.66666666666667,7,3.2,4,2,20
"2",4,1.33333333333333,9,6,3,1,18
"2",3.66666666666667,2.33333333333333,7,5,4,1,21
"1",3.66666666666667,3,8,4.2,5,2,18
"2",4,1.66666666666667,8,5.4,2,1,19
"2",4,3.33333333333333,6,4.8,4,1,19
"2",2,1,7,4,2,1,18
"1",2,1,7,4.6,1,1,22
"2",3,2,6,4.6,2,1,20
"1",3,1.66666666666667,8,4.4,4,2,21
"1",3.66666666666667,1.33333333333333,8,5.4,2,1,19
"1",3.33333333333333,1.33333333333333,7,5.4,1,1,18
"1",4,2,8,5.8,4,2,19
"1",2.33333333333333,3.66666666666667,7,5.8,3,1,21
"2",4,2.66666666666667,7,5.4,3,1,19
"2",2.33333333333333,3,7,5,1,2,18
"1",3,1.33333333333333,3,1.8,2,1,19
"1",4,1.33333333333333,9,6,1,1,19
"2",4,1.33333333333333,8,5.6,2,1,19
"2",3,1,8,5,1,1,19
"2",3.33333333333333,1.66666666666667,9,5.8,3,1,21
"1",3.66666666666667,1.33333333333333,9,6.2,4,2,18
"2",3.66666666666667,1,5,3.2,NA,1,18
"2",3.33333333333333,2,7,4.6,3,1,22
"2",2,2.33333333333333,5,2.8,1,2,22
"2",2.33333333333333,1.33333333333333,6,3.4,1,1,18
"2",4.66666666666667,1,10,6.8,3,1,18
"1",5,1,9,6.8,4,1,20
"1",3,2,8,6.4,5,1,22
"1",4,2,8,5.2,2,1,18
"2",3,1,8,5,2,2,18
"2",3,1,8,6.2,1,1,18
"1",4.33333333333333,2,7,3.8,4,1,20
"2",1,1.33333333333333,2,1.2,1,1,20
"1",2.66666666666667,2.66666666666667,6,4.4,3,1,18
"2",4,1.66666666666667,7,5.6,4,1,18
"1",2.66666666666667,1.66666666666667,6,3.6,2,1,20
"2",3,4,7,3.8,2,2,18
"1",1,2.66666666666667,5,2.2,2,2,19
"2",4,1,10,6.2,5,1,18
"2",3.66666666666667,1.33333333333333,8,6,4,1,22
"1",3.33333333333333,1.33333333333333,8,6,3,1,19
"1",4,1.66666666666667,7,6,3,1,19
"2",4,1.33333333333333,9,5.8,4,1,21
"1",4.33333333333333,1,7,5.6,2,1,20
"1",5,1,9,5.8,5,1,18
"2",1.66666666666667,1.66666666666667,7,4.4,1,2,18
"2",4,1,8,6,1,1,19
"1",3.33333333333333,1.33333333333333,8,5.2,2,1,19
"1",4.66666666666667,1.33333333333333,9,5.4,3,1,20
"2",3.66666666666667,1,8,5.8,4,1,18
"2",3.66666666666667,1.66666666666667,9,6.2,4,1,18
"1",2.66666666666667,2.66666666666667,7,3.2,1,2,19
"1",3,1.66666666666667,3,2,1,1,19
"2",3.66666666666667,1,7,5.6,2,1,18
"2",3,2,8,4.8,1,1,20
"1",3.66666666666667,1.66666666666667,8,3.6,4,1,19
"2",3.33333333333333,1,9,6,3,1,21
"1",4.66666666666667,1.33333333333333,9,7,4,1,18
"1",3.66666666666667,1.33333333333333,7,5,4,1,18
"2",3,1,9,4.6,1,1,18
"1",4,1,7,5.6,1,1,20
"1",2.66666666666667,1.66666666666667,7,4.6,2,1,20
"1",2.66666666666667,3,5,4.4,2,1,19
