"condition","condItemOrder","pa","na","lifeHappy","lifeSat","nowHappy","nowUnhappy","nowGood","nowBad","gender","age"
"positive","SatHappy",3.33333333333333,1.33333333333333,6,8,6,2,5,2,1,21
"positive","HappySat",4,1.66666666666667,6,8,6,1,6,3,1,21
"negative","HappySat",4.33333333333333,2.66666666666667,6,10,6,2,6,2,1,18
"negative","HappySat",4,2.33333333333333,6,8,6,2,5,2,1,18
"positive","SatHappy",4,1,6,9,6,2,6,1,1,20
"negative","SatHappy",4,1,6,8,6,2,6,2,1,19
"negative","HappySat",1,2.33333333333333,4,5,2,6,3,5,1,18
"negative","HappySat",1,2.66666666666667,4,3,2,5,3,5,2,19
"positive","HappySat",4,1.33333333333333,6,8,6,2,6,2,1,20
"positive","SatHappy",2.33333333333333,1,5,6,3,4,4,1,NA,NA
"positive","HappySat",1.66666666666667,2,6,8,5,5,5,4,1,18
"negative","HappySat",2.66666666666667,2.33333333333333,5,4,4,3,5,3,NA,NA
"negative","HappySat",2.66666666666667,1.66666666666667,5,6,4,2,5,2,1,18
"positive","HappySat",2.66666666666667,3,6,8,5,4,5,4,1,21
"positive","SatHappy",4.33333333333333,1.33333333333333,6,8,7,1,7,1,2,19
"negative","SatHappy",2,1.66666666666667,5,6,3,5,3,5,2,21
"negative","HappySat",5,1.33333333333333,7,9,7,1,7,1,1,21
"positive","SatHappy",5,1.66666666666667,6,8,7,1,6,1,1,18
"positive","SatHappy",4,1.33333333333333,6,8,7,1,7,1,1,20
"positive","HappySat",2.33333333333333,1.66666666666667,5,4,6,3,5,2,1,20
"negative","HappySat",1,4,5,7,2,6,1,7,1,19
"positive","HappySat",5,1,7,10,7,1,7,1,1,19
"positive","SatHappy",1.33333333333333,2.33333333333333,5,6,4,4,4,5,1,18
"negative","HappySat",4,1.33333333333333,7,8,5,2,6,1,1,19
"negative","SatHappy",4.33333333333333,1.33333333333333,7,9,6,1,6,1,1,31
"positive","SatHappy",3.33333333333333,1.33333333333333,5,7,4,3,5,2,1,19
