"swls","traitPA","traitNA","gender","age","condition","condition2","surveyCond","lifeSat2","lifeHappy1","lifeChange","moodPA","moodNA","drmDayWrong","drmPA","drmNA","daySat"
4.2,3.66666666666667,2.16666666666667,2,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4.6,4.33333333333333,2,1,20,NA,NA,NA,NA,NA,NA,NA,NA,0,3.44444444444444,0.666666666666667,7
6,3.66666666666667,3,1,19,"bad",5,"NoQuestions",8,8,4,3.66666666666667,1.33333333333333,0,2.66666666666667,0.611111111111111,9
NA,3.66666666666667,3,1,19,"good",6,"Questions",6,7,4,3.33333333333333,1.66666666666667,0,3.22222222222222,3.61111111111111,7
NA,1.33333333333333,3.66666666666667,2,20,"bad",5,"NoQuestions",1,2,1,1,4.33333333333333,NA,NA,NA,NA
5.8,4,3,1,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6.4,5.66666666666667,2,1,18,"good",6,"NoQuestions",10,9,10,4.33333333333333,1.33333333333333,NA,NA,NA,NA
3.6,4,2.33333333333333,1,19,"bad",5,"Questions",8,9,8,2.66666666666667,4,0,2.33333333333333,1.27777777777778,8
6,4,3.16666666666667,1,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5.6,5,2,2,19,"bad",5,"NoQuestions",9,10,5,4,1,NA,NA,NA,NA
NA,3.33333333333333,3.33333333333333,1,18,"bad",5,"NoQuestions",6,7,6,2.66666666666667,1,0,3.11111111111111,1.38888888888889,4
3.8,3.33333333333333,3.33333333333333,2,18,"good",6,"NoQuestions",5,6,4,4,3,0,NA,NA,6
4.8,4.33333333333333,3.83333333333333,2,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4.2,4,4,1,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5.8,5,3.16666666666667,1,19,"bad",5,"Questions",8,7,2,4,1,NA,NA,NA,NA
