"condition","pa","na","lifeHappy","lifeSat","swls","gender","age"
"happy",3,4.33333333333333,5,6,4.2,1,21
"sad",4,2,6,8,4.6,1,19
"happy",4,1.66666666666667,5,7,5.6,1,18
"sad",4.33333333333333,1,6,9,5.4,1,18
"happy",4.33333333333333,1.33333333333333,6,6,4.2,1,20
"sad",1.33333333333333,1.33333333333333,5,4,3.8,1,20
"sad",3.66666666666667,2,6,8,6.4,1,19
"sad",3.33333333333333,2,6,9,5.2,2,18
"happy",4.33333333333333,1.33333333333333,5,8,4.8,1,21
"happy",4,3.33333333333333,6,5,6,1,19
"happy",4,1.33333333333333,6,6,4.6,1,20
"sad",3,2,5,6,5,1,19
"sad",4,1.66666666666667,6,10,5.8,1,20
"sad",3,1.66666666666667,6,6,5,1,20
"sad",2.33333333333333,2.33333333333333,5,7,5,1,18
"sad",2.66666666666667,2,6,3,4.8,2,19
"sad",1,3.66666666666667,5,6,5.6,1,19
"sad",2.66666666666667,3,5,5,4.2,1,20
"sad",1.33333333333333,3.66666666666667,6,5,3.6,1,19
"sad",2.33333333333333,3.66666666666667,5,7,4.4,1,18
"happy",3.33333333333333,2,6,8,6.2,1,20
"sad",2.33333333333333,3.66666666666667,4,5,2.2,1,18
"sad",2.33333333333333,3,6,8,6.2,1,19
"happy",4,1.66666666666667,6,8,5,1,22
"sad",3.66666666666667,4,6,8,4.8,1,19
"happy",3,1.33333333333333,5,6,5.4,1,20
"happy",3.33333333333333,2,3,3,3,1,18
"sad",3.33333333333333,3,4,6,3.8,1,18
"sad",2,2.33333333333333,5,6,5.4,1,18
"sad",4.33333333333333,2,5,7,5.2,1,20
"sad",2.33333333333333,3.66666666666667,4,4,2.6,1,18
"sad",3,3,3,5,3.6,1,22
"sad",4,1.66666666666667,6,8,6.4,1,23
"happy",4.33333333333333,1,6,8,6.2,1,18
"sad",4,1,6,9,6.8,1,18
"happy",2.66666666666667,2,5,8,4,1,19
"happy",3.33333333333333,1.66666666666667,6,7,5.8,1,19
"sad",3.33333333333333,1,6,8,5.2,1,18
"happy",3,3.66666666666667,5,6,4.8,1,18
"sad",3,1,6,8,4.2,1,18
"happy",4.66666666666667,1.66666666666667,6,9,5.6,2,20
"happy",3.66666666666667,1.66666666666667,6,9,4.8,1,18
"sad",2,1,6,7,5.6,1,19
"happy",3,2,7,7,5.2,1,19
"happy",4,1.66666666666667,4,6,5.2,1,19
